X,Y
150.0,0.0
144.03598022460938,-1.6058993339538574
138.07196044921875,-3.2117981910705566
132.10794067382812,-4.817697525024414
126.14393615722656,-6.423596382141113
120.17991638183594,-8.029495239257812
114.21590423583984,-9.635395050048828
108.08769226074219,-10.0
101.9112548828125,-10.0
95.73480987548828,-10.0
89.5583724975586,-10.0
83.38192749023438,-10.0
77.20549774169922,-10.0
71.02906036376953,-10.0
64.85261535644531,-10.0
58.676170349121094,-10.0
52.49973678588867,-10.0
46.323299407958984,-10.0
40.14685821533203,-10.0
33.970420837402344,-10.0
27.793977737426758,-10.0
21.61754035949707,-10.0
15.441097259521484,-10.0
9.264660835266113,-10.0
3.0882182121276855,-10.0
-3.0882182121276855,-10.0
-9.264660835266113,-10.0
-15.441097259521484,-10.0
-21.61754035949707,-10.0
-27.793977737426758,-10.0
-33.97041320800781,-10.0
-40.14685821533203,-10.0
-46.323299407958984,-10.0
-52.49973678588867,-10.0
-58.676170349121094,-10.0
-64.85261535644531,-10.0
-71.029052734375,-10.0
-77.20549774169922,-10.0
-83.38192749023438,-10.0
-89.5583724975586,-10.0
-95.73480987548828,-10.0
-101.9112548828125,-10.0
-108.08769226074219,-10.0
-114.21590423583984,-9.635395050048828
-120.17991638183594,-8.029495239257812
-126.14393615722656,-6.423596382141113
-132.10794067382812,-4.817697525024414
-138.07196044921875,-3.2117981910705566
-144.03598022460938,-1.6058993339538574
-150.0,0.0
